Time [s];Packet ID;Address;Data;Read/Write;ACK/NAK;
1.724.440.920.000.000;191;0x23;0x80;Read;NAK;
1.726.555.000.000.000;192;0x23;0x80;Read;NAK;
1.728.648.200.000.000;193;0x22;0x12;Write;ACK;
1.729.594.760.000.000;193;0x22;0x00;Write;ACK;
1.730.541.320.000.000;193;0x22;0x40;Write;ACK;
1.731.487.880.000.000;193;0x22;0x00;Write;ACK;
1.732.434.400.000.000;193;0x22;0x00;Write;ACK;
1.733.380.960.000.000;193;0x22;0x1B;Write;ACK;
1.735.547.960.000.000;194;0x23;0x80;Read;NAK;
1.737.662.080.000.000;195;0x23;0x80;Read;NAK;
1.739.769.200.000.000;196;0x22;0x12;Write;ACK;
1.740.701.840.000.000;196;0x22;0x00;Write;ACK;
1.741.648.400.000.000;196;0x22;0x40;Write;ACK;
1.742.594.960.000.000;196;0x22;0x00;Write;ACK;
1.743.541.560.000.000;196;0x22;0x00;Write;ACK;
1.744.488.160.000.000;196;0x22;0x1C;Write;ACK;
1.746.655.360.000.000;197;0x23;0x80;Read;NAK;
1.748.783.440.000.000;198;0x23;0x80;Read;NAK;
1.750.876.680.000.000;199;0x22;0x12;Write;ACK;
1.751.823.280.000.000;199;0x22;0x00;Write;ACK;
1.752.769.880.000.000;199;0x22;0x40;Write;ACK;
1.753.702.520.000.000;199;0x22;0x00;Write;ACK;
1.754.649.080.000.000;199;0x22;0x00;Write;ACK;
1.755.595.680.000.000;199;0x22;0x1D;Write;ACK;
1.757.776.800.000.000;200;0x23;0x80;Read;NAK;
1.759.890.800.000.000;201;0x23;0x80;Read;NAK;
1.761.984.000.000.000;202;0x22;0x12;Write;ACK;
1.762.930.560.000.000;202;0x22;0x00;Write;ACK;
1.763.877.080.000.000;202;0x22;0x40;Write;ACK;
1.764.823.600.000.000;202;0x22;0x00;Write;ACK;
1.765.770.200.000.000;202;0x22;0x00;Write;ACK;
1.766.702.880.000.000;202;0x22;0x1E;Write;ACK;
1.768.883.840.000.000;203;0x23;0x80;Read;NAK;
1.770.998.000.000.000;204;0x23;0x80;Read;NAK;
1.773.091.280.000.000;205;0x22;0x12;Write;ACK;
1.774.037.800.000.000;205;0x22;0x00;Write;ACK;
1.774.984.360.000.000;205;0x22;0x40;Write;ACK;
1.775.930.880.000.000;205;0x22;0x00;Write;ACK;
1.776.877.400.000.000;205;0x22;0x00;Write;ACK;
1.777.823.960.000.000;205;0x22;0x1F;Write;ACK;
1.779.991.120.000.000;206;0x23;0x80;Read;NAK;
1.782.105.280.000.000;207;0x23;0x80;Read;NAK;
1.784.198.600.000.000;208;0x22;0x12;Write;ACK;
1.785.145.160.000.000;208;0x22;0x00;Write;ACK;
1.786.091.760.000.000;208;0x22;0x40;Write;ACK;
1.787.038.360.000.000;208;0x22;0x00;Write;ACK;
1.787.984.880.000.000;208;0x22;0x00;Write;ACK;
1.788.931.480.000.000;208;0x22;0x20;Write;ACK;
1.791.098.600.000.000;209;0x23;0x80;Read;NAK;
1.793.212.680.000.000;210;0x23;0x80;Read;NAK;
1.795.305.840.000.000;211;0x22;0x12;Write;ACK;
1.796.252.320.000.000;211;0x22;0x00;Write;ACK;
1.797.198.840.000.000;211;0x22;0x40;Write;ACK;
1.798.145.360.000.000;211;0x22;0x00;Write;ACK;
1.799.091.880.000.000;211;0x22;0x00;Write;ACK;
1.800.038.400.000.000;211;0x22;0x21;Write;ACK;
1.802.205.360.000.000;212;0x23;0x80;Read;NAK;
1.804.319.440.000.000;213;0x23;0x80;Read;NAK;
1.806.412.680.000.000;214;0x22;0x12;Write;ACK;
1.807.359.240.000.000;214;0x22;0x00;Write;ACK;
1.808.305.760.000.000;214;0x22;0x40;Write;ACK;
1.809.252.280.000.000;214;0x22;0x00;Write;ACK;
1.810.198.840.000.000;214;0x22;0x00;Write;ACK;
1.811.145.360.000.000;214;0x22;0x22;Write;ACK;
1.813.312.600.000.000;215;0x23;0x80;Read;NAK;
1.815.426.680.000.000;216;0x23;0x80;Read;NAK;
1.817.519.920.000.000;217;0x22;0x12;Write;ACK;
1.818.466.440.000.000;217;0x22;0x00;Write;ACK;
1.819.413.000.000.000;217;0x22;0x40;Write;ACK;
1.820.359.520.000.000;217;0x22;0x00;Write;ACK;
1.821.306.080.000.000;217;0x22;0x00;Write;ACK;
1.822.252.600.000.000;217;0x22;0x23;Write;ACK;
1.824.419.720.000.000;218;0x23;0x80;Read;NAK;
1.845.857.320.000.000;219;0x23;0x80;Read;NAK;
1.847.964.440.000.000;220;0x22;0x14;Write;ACK;
1.850.086.280.000.000;221;0x23;0x80;Read;NAK;
1.852.178.080.000.000;222;0x23;0x80;Read;NAK;
1.854.293.120.000.000;223;0x23;0x80;Read;NAK;
1.856.431.560.000.000;224;0x22;0x14;Write;ACK;
1.858.553.360.000.000;225;0x23;0x80;Read;NAK;
1.860.645.080.000.000;226;0x23;0x80;Read;NAK;
1.862.752.600.000.000;227;0x23;0x80;Read;NAK;
1.864.845.840.000.000;228;0x22;0x14;Write;ACK;
1.867.026.720.000.000;229;0x23;0x80;Read;NAK;
1.869.118.520.000.000;230;0x23;0x80;Read;NAK;
1.871.226.040.000.000;231;0x23;0x80;Read;NAK;
1.873.319.280.000.000;232;0x22;0x14;Write;ACK;
1.875.441.080.000.000;233;0x23;0x80;Read;NAK;
1.877.532.920.000.000;234;0x23;0x80;Read;NAK;
1.879.685.760.000.000;235;0x23;0x80;Read;NAK;
1.881.779.000.000.000;236;0x22;0x14;Write;ACK;
1.883.900.760.000.000;237;0x23;0x80;Read;NAK;
1.886.006.440.000.000;238;0x23;0x80;Read;NAK;
1.888.113.960.000.000;239;0x23;0x80;Read;NAK;
1.890.252.400.000.000;240;0x22;0x14;Write;ACK;
1.892.374.160.000.000;241;0x23;0x80;Read;NAK;
1.894.465.920.000.000;242;0x23;0x80;Read;NAK;
1.896.573.480.000.000;243;0x23;0x80;Read;NAK;
1.898.666.720.000.000;244;0x22;0x14;Write;ACK;
1.900.833.680.000.000;245;0x23;0x80;Read;NAK;
1.902.925.520.000.000;246;0x23;0x80;Read;NAK;
1.905.046.960.000.000;247;0x23;0x80;Read;NAK;
1.907.140.120.000.000;248;0x22;0x14;Write;ACK;
1.909.261.960.000.000;249;0x23;0x80;Read;NAK;
1.911.399.160.000.000;250;0x23;0x80;Read;NAK;
1.913.506.600.000.000;251;0x23;0x80;Read;NAK;
1.915.599.760.000.000;252;0x22;0x14;Write;ACK;
1.917.721.600.000.000;253;0x23;0x80;Read;NAK;
1.919.813.360.000.000;254;0x23;0x80;Read;NAK;
1.921.920.880.000.000;255;0x23;0x80;Read;NAK;
1.924.073.360.000.000;256;0x22;0x14;Write;ACK;
1.926.195.160.000.000;257;0x23;0x80;Read;NAK;
1.928.287.040.000.000;258;0x23;0x80;Read;NAK;
1.930.394.680.000.000;259;0x23;0x80;Read;NAK;
1.932.487.880.000.000;260;0x22;0x14;Write;ACK;
1.934.654.920.000.000;261;0x23;0x80;Read;NAK;
1.936.746.800.000.000;262;0x23;0x80;Read;NAK;
1.938.854.440.000.000;263;0x23;0x80;Read;NAK;
1.940.947.640.000.000;264;0x22;0x14;Write;ACK;
1.943.083.440.000.000;265;0x23;0x80;Read;NAK;
1.945.220.680.000.000;266;0x23;0x80;Read;NAK;
1.947.328.240.000.000;267;0x23;0x80;Read;NAK;
1.949.421.440.000.000;268;0x22;0x14;Write;ACK;
1.951.543.400.000.000;269;0x23;0x80;Read;NAK;
1.953.663.560.000.000;270;0x23;0x80;Read;NAK;
1.955.818.520.000.000;271;0x23;0x80;Read;NAK;
1.957.911.880.000.000;272;0x22;0x23;Write;ACK;
1.958.858.520.000.000;272;0x22;0x10;Write;ACK;
1.960.980.400.000.000;273;0x23;0x80;Read;NAK;
1.963.086.200.000.000;274;0x23;0x80;Read;ACK;
1.963.986.440.000.000;274;0x23;0x00;Read;ACK;
1.964.900.600.000.000;274;0x23;0x0A;Read;ACK;
1.965.814.760.000.000;274;0x23;0x00;Read;ACK;
1.966.774.040.000.000;274;0x23;0x21;Read;ACK;
1.967.688.160.000.000;274;0x23;0x03;Read;ACK;
1.968.602.320.000.000;274;0x23;0x3E;Read;ACK;
1.969.516.480.000.000;274;0x23;0xBE;Read;NAK;
1.988.821.800.000.000;275;0x23;0x80;Read;NAK;
1.990.915.000.000.000;276;0x22;0x14;Write;ACK;
1.993.036.800.000.000;277;0x23;0x80;Read;NAK;
1.995.142.400.000.000;278;0x23;0x80;Read;NAK;
1.997.249.800.000.000;279;0x23;0x80;Read;NAK;
1.999.388.120.000.000;280;0x22;0x14;Write;ACK;
