Time [s];Packet ID;Address;Data;Read/Write;ACK/NAK;
1.208.234.240.000.000;43;0x22;0x00;Write;ACK;
1.209.180.720.000.000;43;0x22;0x31;Write;ACK;
1.211.302.360.000.000;44;0x23;0x80;Read;NAK;
1.213.411.880.000.000;45;0x23;0x80;Read;NAK;
1.215.504.840.000.000;46;0x22;0x12;Write;ACK;SET_PROPERTY
1.216.451.320.000.000;46;0x22;0x00;Write;ACK;
1.217.443.200.000.000;46;0x22;0x18;Write;ACK;FM_BLEND_RSSI_MONO_
1.218.389.720.000.000;46;0x22;0x01;Write;ACK;THRESHOLD
1.219.336.200.000.000;46;0x22;0x00;Write;ACK;
1.220.282.720.000.000;46;0x22;0x1E;Write;ACK;
1.222.404.440.000.000;47;0x23;0x80;Read;NAK;
1.224.511.840.000.000;48;0x23;0x80;Read;NAK;
1.226.604.880.000.000;49;0x22;0x28;Write;ACK;FM_AGC_OVERRIDE
1.227.551.320.000.000;49;0x22;0x00;Write;ACK;
1.228.543.120.000.000;49;0x22;0x00;Write;ACK;
1.230.664.760.000.000;50;0x23;0x80;Read;NAK;
1.232.756.360.000.000;51;0x23;0x80;Read;NAK;
1.234.862.320.000.000;52;0x23;0x80;Read;NAK;
1.236.969.240.000.000;53;0x22;0x12;Write;ACK;SET_PROPERTY
1.237.915.760.000.000;53;0x22;0x00;Write;ACK;
1.238.848.360.000.000;53;0x22;0x15;Write;ACK;
1.239.840.040.000.000;53;0x22;0x02;Write;ACK;
1.240.786.560.000.000;53;0x22;0xAA;Write;ACK;
1.241.733.120.000.000;53;0x22;0x01;Write;ACK;
1.243.854.960.000.000;54;0x23;0x80;Read;NAK;
1.245.977.600.000.000;55;0x23;0x80;Read;NAK;
1.248.070.840.000.000;56;0x22;0x12;Write;ACK;SET_PROPERTY
1.249.017.400.000.000;56;0x22;0x00;Write;ACK;
1.250.009.280.000.000;56;0x22;0x15;Write;ACK;FM_RDS_INT_SOURCE
1.250.955.840.000.000;56;0x22;0x00;Write;ACK;
1.251.888.520.000.000;56;0x22;0x00;Write;ACK;
1.252.835.040.000.000;56;0x22;0x01;Write;ACK;
1.254.970.760.000.000;57;0x23;0x80;Read;NAK;
1.257.079.560.000.000;58;0x23;0x80;Read;NAK;
1.259.172.880.000.000;59;0x22;0x12;Write;ACK;SET_PROPERTY
1.260.119.440.000.000;59;0x22;0x00;Write;ACK;
1.261.111.320.000.000;59;0x22;0x00;Write;ACK;GPO_IEN
1.262.057.880.000.000;59;0x22;0x01;Write;ACK;
1.263.004.480.000.000;59;0x22;0x00;Write;ACK;
1.263.951.080.000.000;59;0x22;0x05;Write;ACK;
1.266.072.920.000.000;60;0x23;0x80;Read;NAK;
1.268.181.600.000.000;61;0x23;0x80;Read;NAK;
1.270.274.760.000.000;62;0x22;0x12;Write;ACK;SET_PROPERTY
1.271.221.240.000.000;62;0x22;0x00;Write;ACK;
1.272.212.880.000.000;62;0x22;0x15;Write;ACK;
1.273.159.400.000.000;62;0x22;0x01;Write;ACK;
1.274.105.960.000.000;62;0x22;0x00;Write;ACK;
1.275.052.480.000.000;62;0x22;0x01;Write;ACK;
1.277.174.320.000.000;63;0x23;0x80;Read;NAK;
1.279.284.120.000.000;64;0x23;0x80;Read;NAK;
1.281.377.440.000.000;65;0x22;0x12;Write;ACK;SET_PROPERTY
1.282.324.000.000.000;65;0x22;0x00;Write;ACK;
1.283.315.920.000.000;65;0x22;0x14;Write;ACK;FM_SEEK_TUNE_
1.284.262.520.000.000;65;0x22;0x03;Write;ACK;SNR_THRESHOLD
1.285.209.160.000.000;65;0x22;0x00;Write;ACK;
1.286.155.760.000.000;65;0x22;0x03;Write;ACK;
1.288.277.720.000.000;66;0x23;0x80;Read;NAK;
1.290.386.120.000.000;67;0x23;0x80;Read;NAK;
1.292.479.400.000.000;68;0x22;0x12;Write;ACK;SET_PROPERTY
1.293.425.960.000.000;68;0x22;0x00;Write;ACK;
1.294.417.880.000.000;68;0x22;0xFF;Write;ACK;???
1.295.364.440.000.000;68;0x22;0x00;Write;ACK;
1.296.311.000.000.000;68;0x22;0x00;Write;ACK;
1.297.257.560.000.000;68;0x22;0x00;Write;ACK;
1.299.379.400.000.000;69;0x23;0x80;Read;NAK;
1.301.487.920.000.000;70;0x23;0x80;Read;NAK;
1.303.581.080.000.000;71;0x22;0x12;Write;ACK;SET_PROPERTY
1.304.527.640.000.000;71;0x22;0x00;Write;ACK;
1.305.519.320.000.000;71;0x22;0x14;Write;ACK;FM_SEEK_TUNE_
1.306.465.880.000.000;71;0x22;0x04;Write;ACK;RSSI_TRESHOLD
1.307.412.480.000.000;71;0x22;0x00;Write;ACK;
1.308.359.080.000.000;71;0x22;0x00;Write;ACK;
1.310.480.960.000.000;72;0x23;0x80;Read;NAK;
1.312.599.240.000.000;73;0x23;0x80;Read;NAK;
1.314.692.520.000.000;74;0x22;0x20;Write;ACK;FM_TUNE_FREQ
1.315.639.120.000.000;74;0x22;0x00;Write;ACK;
1.316.631.040.000.000;74;0x22;0x23;Write;ACK;
1.317.577.600.000.000;74;0x22;0x5A;Write;ACK;
1.318.524.200.000.000;74;0x22;0x00;Write;ACK;
1.320.646.080.000.000;75;0x23;0x80;Read;NAK;
1.322.738.080.000.000;76;0x23;0x80;Read;NAK;
1.324.838.040.000.000;77;0x23;0x80;Read;NAK;
1.326.931.360.000.000;78;0x22;0x14;Write;ACK;GET_INT_STATUS
1.329.112.520.000.000;79;0x23;0x80;Read;NAK;
1.331.204.400.000.000;80;0x23;0x80;Read;NAK;
1.334.717.560.000.000;81;0x23;0x80;Read;NAK;
1.336.810.840.000.000;82;0x22;0x14;Write;ACK;GET_INT_STATUS
1.338.977.800.000.000;83;0x23;0x80;Read;NAK;
1.341.083.520.000.000;84;0x23;0x80;Read;NAK;
1.344.596.480.000.000;85;0x23;0x80;Read;NAK;
1.346.689.840.000.000;86;0x22;0x14;Write;ACK;GET_INT_STATUS
1.348.811.800.000.000;87;0x23;0x80;Read;NAK;
1.350.949.000.000.000;88;0x23;0x80;Read;NAK;
1.354.476.000.000.000;89;0x23;0x80;Read;NAK;
1.356.569.280.000.000;90;0x22;0x14;Write;ACK;
1.358.691.120.000.000;91;0x23;0x80;Read;NAK;
1.360.828.320.000.000;92;0x23;0x80;Read;NAK;
1.364.355.320.000.000;93;0x23;0x80;Read;NAK;
1.366.448.640.000.000;94;0x22;0x14;Write;ACK;
1.368.570.560.000.000;95;0x23;0x81;Read;NAK;
1.370.662.480.000.000;96;0x23;0x81;Read;NAK;
1.372.817.160.000.000;97;0x23;0x81;Read;NAK;
1.374.910.440.000.000;98;0x22;0x22;Write;ACK;
1.375.857.000.000.000;98;0x22;0x01;Write;ACK;
1.377.978.920.000.000;99;0x23;0x80;Read;NAK;
1.380.070.760.000.000;100;0x23;0x80;Read;ACK;
1.380.984.880.000.000;100;0x23;0x02;Read;ACK;
1.381.899.000.000.000;100;0x23;0x23;Read;ACK;
1.382.858.480.000.000;100;0x23;0x5A;Read;ACK;
1.383.772.640.000.000;100;0x23;0x25;Read;ACK;
1.384.686.760.000.000;100;0x23;0x06;Read;ACK;
1.385.600.880.000.000;100;0x23;0x00;Read;ACK;
1.386.515.000.000.000;100;0x23;0x01;Read;NAK;
1.388.622.760.000.000;101;0x23;0x80;Read;NAK;
1.390.716.080.000.000;102;0x22;0x14;Write;ACK;
1.392.837.880.000.000;103;0x23;0x80;Read;NAK;
1.394.975.000.000.000;104;0x23;0x80;Read;NAK;
1.404.360.560.000.000;105;0x23;0x80;Read;NAK;
1.406.453.840.000.000;106;0x22;0x12;Write;ACK;
1.407.400.400.000.000;106;0x22;0x00;Write;ACK;
1.408.346.960.000.000;106;0x22;0x14;Write;ACK;
1.409.293.520.000.000;106;0x22;0x04;Write;ACK;
1.410.240.080.000.000;106;0x22;0x00;Write;ACK;
1.411.172.760.000.000;106;0x22;0x14;Write;ACK;
1.413.308.520.000.000;107;0x23;0x80;Read;NAK;
1.415.465.760.000.000;108;0x23;0x80;Read;NAK;
1.417.559.000.000.000;109;0x22;0x12;Write;ACK;
1.418.505.560.000.000;109;0x22;0x00;Write;ACK;
1.419.452.120.000.000;109;0x22;0x40;Write;ACK;
1.420.398.640.000.000;109;0x22;0x00;Write;ACK;
1.421.345.240.000.000;109;0x22;0x00;Write;ACK;
1.422.291.800.000.000;109;0x22;0x00;Write;ACK;
1.424.413.680.000.000;110;0x23;0x80;Read;NAK;
