Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
1.639256160000000,48,0x23,0x80,Read,NAK
1.641350320000000,49,0x22,0x28,Write,ACK
1.642297320000000,49,0x22,0x00,Write,ACK
1.643289640000000,49,0x22,0x00,Write,ACK
1.645412400000000,50,0x23,0x80,Read,NAK
1.647505160000000,51,0x23,0x80,Read,NAK
1.649612320000000,52,0x23,0x80,Read,NAK
1.651720400000000,53,0x22,0x12,Write,ACK
1.652667360000000,53,0x22,0x00,Write,ACK
1.653600360000000,53,0x22,0x15,Write,ACK
1.654592440000000,53,0x22,0x02,Write,ACK
1.655539360000000,53,0x22,0xAA,Write,ACK
1.656486320000000,53,0x22,0x01,Write,ACK
1.658609080000000,54,0x23,0x80,Read,NAK
1.660732600000000,55,0x23,0x80,Read,NAK
1.662826800000000,56,0x22,0x12,Write,ACK
1.663773800000000,56,0x22,0x00,Write,ACK
1.664766160000000,56,0x22,0x15,Write,ACK
1.665713160000000,56,0x22,0x00,Write,ACK
1.666646320000000,56,0x22,0x00,Write,ACK
1.667593320000000,56,0x22,0x01,Write,ACK
1.669730120000000,57,0x23,0x80,Read,NAK
1.671839880000000,58,0x23,0x80,Read,NAK
1.673934160000000,59,0x22,0x12,Write,ACK
1.674881160000000,59,0x22,0x00,Write,ACK
1.675873520000000,59,0x22,0x00,Write,ACK
1.676820520000000,59,0x22,0x01,Write,ACK
1.677767480000000,59,0x22,0x00,Write,ACK
1.678700520000000,59,0x22,0x05,Write,ACK
1.680837200000000,60,0x23,0x80,Read,NAK
1.682946880000000,61,0x23,0x80,Read,NAK
1.685041120000000,62,0x22,0x12,Write,ACK
1.685988160000000,62,0x22,0x00,Write,ACK
1.686980280000000,62,0x22,0x15,Write,ACK
1.687927280000000,62,0x22,0x01,Write,ACK
1.688874280000000,62,0x22,0x00,Write,ACK
1.689821240000000,62,0x22,0x01,Write,ACK
1.691944160000000,63,0x23,0x80,Read,NAK
1.694054920000000,64,0x23,0x80,Read,NAK
1.696149120000000,65,0x22,0x12,Write,ACK
1.697096120000000,65,0x22,0x00,Write,ACK
1.698088480000000,65,0x22,0x14,Write,ACK
1.699035440000000,65,0x22,0x03,Write,ACK
1.699982480000000,65,0x22,0x00,Write,ACK
1.700929480000000,65,0x22,0x03,Write,ACK
1.703052320000000,66,0x23,0x80,Read,NAK
1.705161560000000,67,0x23,0x80,Read,NAK
1.707255800000000,68,0x22,0x12,Write,ACK
1.708202760000000,68,0x22,0x00,Write,ACK
1.709195040000000,68,0x22,0xFF,Write,ACK
1.710142040000000,68,0x22,0x00,Write,ACK
1.711089040000000,68,0x22,0x00,Write,ACK
1.712036080000000,68,0x22,0x00,Write,ACK
1.714158920000000,69,0x23,0x80,Read,NAK
1.716268360000000,70,0x23,0x80,Read,NAK
1.718362520000000,71,0x22,0x12,Write,ACK
1.719309520000000,71,0x22,0x00,Write,ACK
1.720301640000000,71,0x22,0x14,Write,ACK
1.721248640000000,71,0x22,0x04,Write,ACK
1.722195640000000,71,0x22,0x00,Write,ACK
1.723142640000000,71,0x22,0x00,Write,ACK
1.725294160000000,72,0x23,0x80,Read,NAK
1.727413400000000,73,0x23,0x80,Read,NAK
1.729507640000000,74,0x22,0x20,Write,ACK
1.730454640000000,74,0x22,0x00,Write,ACK
1.731447000000000,74,0x22,0x23,Write,ACK
1.732393960000000,74,0x22,0x5A,Write,ACK
1.733340960000000,74,0x22,0x00,Write,ACK
